district_id,district_name,population,area_km2,pop_density,pop_proportion
AP-01,Anantapur,4500000,19130,235.23261892315733,0.08453879391320684
AP-02,Chittoor,4570000,15152,301.610348468849,0.08585384181852339
AP-03,East Godavari,5380000,10807,497.8254834829277,0.10107082472290062
AP-04,Guntur,5280000,11391,463.5238346062681,0.0991921848581627
AP-05,Kadapa,3140000,15359,204.4403932547692,0.05898929175277099
AP-06,Krishna,4810000,8727,551.1630571788702,0.09036257749389442
AP-07,Kurnool,4560000,17658,258.2398912674142,0.0856659778320496
AP-08,Prakasam,3710000,17626,210.48451151707704,0.06969753898177719
AP-09,Nellore,3240000,13076,247.78219639033344,0.060867931617508926
AP-10,Srikakulam,2850000,5837,488.2645194449203,0.053541236145031
AP-11,Visakhapatnam,4720000,11161,422.9011737299525,0.08867180161563028
AP-12,Vizianagaram,2420000,6539,370.08716929194065,0.0454630847266579
AP-13,West Godavari,4050000,7742,523.1206406613278,0.07608491452188615
