Date,Energy Required (MU),Energy Met (MU),Energy +/- (MU),Unrestricted Peak Demand (MW),Deficit/Surplus (MW)
14-May-20,176.24,176.24,0,8620,0
15-May-20,182.603,182.603,0,9071,0
16-May-20,183.144,183.144,0,9506,0
17-May-20,176.359,176.359,0,9055,0
18-May-20,171.235,171.235,0,8618,0
19-May-20,159.972,159.972,0,7789,0
20-May-20,171.84,171.84,0,8890,0
21-May-20,184.19,184.19,0,9649,0
22-May-20,188.531,188.531,0,10060,0
23-May-20,193.036,193.036,0,10029,0
24-May-20,191.773,191.773,0,9870,0
25-May-20,189.577,189.577,0,9955,0
26-May-20,191.607,191.607,0,10071,0
27-May-20,191.072,191.072,0,10101,0
28-May-20,192.597,192.597,0,10062,0
29-May-20,188.876,188.876,0,9880,0
30-May-20,182.423,182.423,0,9188,0
31-May-20,181.89,181.89,0,9317,0
1-Jun-20,175.281,175.281,0,8926,0
2-Jun-20,170.14,170.14,0,8676,0
3-Jun-20,171.931,171.931,0,8712,0
4-Jun-20,170.902,170.902,0,8227,0
5-Jun-20,178.317,178.317,0,8987,0
6-Jun-20,182.748,182.748,0,9423,0
7-Jun-20,178.523,178.523,0,9046,0
8-Jun-20,179.202,179.202,0,9096,0
9-Jun-20,173.703,173.703,0,9237,0
10-Jun-20,161.904,161.904,0,8525,0
11-Jun-20,139.959,139.959,0,6623,0
12-Jun-20,139.701,139.701,0,6432,0
13-Jun-20,146.602,146.602,0,7283,0
14-Jun-20,156.949,156.949,0,7406,0
15-Jun-20,166.807,166.807,0,8170,0
16-Jun-20,167.035,167.035,0,7980,0
17-Jun-20,164.292,164.292,0,7762,0
18-Jun-20,165.058,165.058,0,7821,0
19-Jun-20,166.835,166.835,0,7562,0
20-Jun-20,170.267,170.267,0,8353,0
21-Jun-20,168.413,168.413,0,7767,0
22-Jun-20,166.957,166.957,0,8278,0
23-Jun-20,173.804,173.804,0,8640,0
24-Jun-20,175.608,175.608,0,8812,0
25-Jun-20,170.469,170.469,0,8270,0
26-Jun-20,171.3,171.3,0,8470,0
27-Jun-20,173.57,173.57,0,8336,0
28-Jun-20,168.919,168.919,0,7842,0
29-Jun-20,167.849,167.849,0,8202,0
30-Jun-20,158.039,158.039,0,7472,0
1-Jul-20,157.01,157.01,0,7434,0
