,Date,temp ©,rain (cm)
0,1/1/2015,28,0.1
1,1/2/2015,28,0.4
2,1/3/2015,27,1.1
3,1/4/2015,27,0.4
4,1/5/2015,27,0
5,1/6/2015,25,0
6,1/7/2015,25,0
7,1/8/2015,25,0.1
8,1/9/2015,23,0
9,1/10/2015,23,0
10,1/11/2015,24,0
11,1/12/2015,23,0
12,1/13/2015,24,0
13,1/14/2015,25,0
14,1/15/2015,25,0
15,1/16/2015,26,0
16,1/17/2015,25,0
17,1/18/2015,25,0
18,1/19/2015,26,0
19,1/20/2015,25,0
20,1/21/2015,25,0
21,1/22/2015,25,0
22,1/23/2015,26,0
23,1/24/2015,26,0
24,1/25/2015,26,0
25,1/26/2015,26,0
26,1/27/2015,26,0
27,1/28/2015,26,0
28,1/29/2015,26,0.1
29,1/30/2015,27,0
30,1/31/2015,26,0
31,2/1/2015,26,0.1
32,2/2/2015,26,0.2
33,2/3/2015,26,0
34,2/4/2015,27,0
35,2/5/2015,27,0
36,2/6/2015,27,0
37,2/7/2015,27,0
38,2/8/2015,27,0
39,2/9/2015,27,0
40,2/10/2015,26,0
41,2/11/2015,27,0
42,2/12/2015,28,0
43,2/13/2015,28,0
44,2/14/2015,29,0
45,2/15/2015,29,0
46,2/16/2015,28,0
47,2/17/2015,28,0
48,2/18/2015,29,0
49,2/19/2015,28,0
50,2/20/2015,29,0
51,2/21/2015,29,0
52,2/22/2015,30,0
53,2/23/2015,29,0
54,2/24/2015,29,0
55,2/25/2015,29,0
56,2/26/2015,28,0
57,2/27/2015,29,0
58,2/28/2015,28,0
59,3/1/2015,28,0.3
60,3/2/2015,28,4
61,3/3/2015,30,2.7
62,3/4/2015,30,0.8
63,3/5/2015,31,1
64,3/6/2015,30,0.9
65,3/7/2015,30,0.8
66,3/8/2015,30,0
67,3/9/2015,30,0.3
68,3/10/2015,26,1.6
69,3/11/2015,31,0
70,3/12/2015,31,0
71,3/13/2015,32,0.1
72,3/14/2015,31,1
73,3/15/2015,31,0.1
74,3/16/2015,32,0.1
75,3/17/2015,31,0.2
76,3/18/2015,32,0
77,3/19/2015,28,0
78,3/20/2015,32,0
79,3/21/2015,33,0
80,3/22/2015,34,0
81,3/23/2015,34,0
82,3/24/2015,34,0
83,3/25/2015,32,0
84,3/26/2015,32,0
85,3/27/2015,32,0
86,3/28/2015,32,0
87,3/29/2015,32,0
88,3/30/2015,32,0
89,3/31/2015,32,0.1
90,4/1/2015,32,0
91,4/2/2015,34,0
92,4/3/2015,35,0
93,4/4/2015,36,0
94,4/5/2015,35,0
95,4/6/2015,33,0
96,4/7/2015,33,0
97,4/8/2015,32,0
98,4/9/2015,32,0
99,4/10/2015,33,0
100,4/11/2015,33,0
101,4/12/2015,32,0
102,4/13/2015,34,0
103,4/14/2015,34,0
104,4/15/2015,34,0
105,4/16/2015,33,10.2
106,4/17/2015,34,1.6
107,4/18/2015,36,0
108,4/19/2015,34,0
109,4/20/2015,33,0
110,4/21/2015,33,0
111,4/22/2015,36,0
112,4/23/2015,36,0
113,4/24/2015,34,4.5
114,4/25/2015,34,0.3
115,4/26/2015,33,0.1
116,4/27/2015,34,0
117,4/28/2015,35,0
118,4/29/2015,35,0
119,4/30/2015,37,0
120,5/1/2015,37,0.1
121,5/2/2015,36,0
122,5/3/2015,36,3.3
123,5/4/2015,34,0
124,5/5/2015,34,0
125,5/6/2015,34,0
126,5/7/2015,35,0
127,5/8/2015,37,0
128,5/9/2015,35,0
129,5/10/2015,35,0
130,5/11/2015,35,0.4
131,5/12/2015,36,0
132,5/13/2015,34,0
133,5/14/2015,34,0
134,5/15/2015,35,1
135,5/16/2015,35,1.5
136,5/17/2015,34,9
137,5/18/2015,36,0
138,5/19/2015,39,0
139,5/20/2015,42,0
140,5/21/2015,43,0
141,5/22/2015,43,0
142,5/23/2015,42,0
143,5/24/2015,42,0.1
144,5/25/2015,41,0
145,5/26/2015,42,0.2
146,5/27/2015,43,0.1
147,5/28/2015,42,0.5
148,5/29/2015,41,0
149,5/30/2015,39,0
150,5/31/2015,37,0
151,6/1/2015,36,0.8
152,6/2/2015,36,0.3
153,6/3/2015,37,0
154,6/4/2015,37,0.2
155,6/5/2015,36,0.6
156,6/6/2015,33,0.8
157,6/7/2015,31,3
158,6/8/2015,31,15.7
159,6/9/2015,32,0
160,6/10/2015,37,0
161,6/11/2015,38,0
162,6/12/2015,35,7
163,6/13/2015,34,3
164,6/14/2015,33,2.6
165,6/15/2015,32,0.7
166,6/16/2015,30,2.2
167,6/17/2015,26,59.1
168,6/18/2015,27,8.6
169,6/19/2015,27,5.9
170,6/20/2015,26,20
171,6/21/2015,27,11.4
172,6/22/2015,31,0.4
173,6/23/2015,33,0
174,6/24/2015,34,0
175,6/25/2015,34,0
176,6/26/2015,33,0
177,6/27/2015,34,0.7
178,6/28/2015,35,0.7
179,6/29/2015,34,2.8
180,6/30/2015,35,0
181,7/1/2015,35,0
182,7/2/2015,34,2.5
183,7/3/2015,35,6.3
184,7/4/2015,36,0
185,7/5/2015,37,0
186,7/6/2015,36,0
187,7/7/2015,35,0
188,7/8/2015,36,0.4
189,7/9/2015,36,0
190,7/10/2015,36,2.2
191,7/11/2015,35,0.1
192,7/12/2015,35,0
193,7/13/2015,37,0
194,7/14/2015,36,4.7
195,7/15/2015,34,6.8
196,7/16/2015,34,0.2
197,7/17/2015,35,0
198,7/18/2015,35,0.3
199,7/19/2015,34,0.2
200,7/20/2015,34,0.1
201,7/21/2015,35,0
202,7/22/2015,33,2.6
203,7/23/2015,33,2.1
204,7/24/2015,34,5.9
205,7/25/2015,34,0.5
206,7/26/2015,34,0.1
207,7/27/2015,35,0
208,7/28/2015,35,0
209,7/29/2015,35,0
210,7/30/2015,35,0
211,7/31/2015,34,2.1
212,8/1/2015,34,0
213,8/2/2015,34,2.3
214,8/3/2015,34,0
215,8/4/2015,34,0.8
216,8/5/2015,33,2.3
217,8/6/2015,34,0
218,8/7/2015,34,1.6
219,8/8/2015,33,2.9
220,8/9/2015,33,4.9
221,8/10/2015,33,3.9
222,8/11/2015,32,12.4
223,8/12/2015,29,4.9
224,8/13/2015,30,2
225,8/14/2015,33,4.3
226,8/15/2015,33,4.6
227,8/16/2015,32,1.1
228,8/17/2015,32,3.1
229,8/18/2015,32,0
230,8/19/2015,32,0
231,8/20/2015,34,3.1
232,8/21/2015,30,14.2
233,8/22/2015,30,2.5
234,8/23/2015,32,0.3
235,8/24/2015,32,0
236,8/25/2015,33,1.7
237,8/26/2015,32,1.9
238,8/27/2015,31,2
239,8/28/2015,30,7.2
240,8/29/2015,31,6.7
241,8/30/2015,32,5.6
242,8/31/2015,33,3.3
243,9/1/2015,30,3.2
244,9/2/2015,33,0
245,9/3/2015,33,0
246,9/4/2015,33,0
247,9/5/2015,31,1.1
248,9/6/2015,30,1.4
249,9/7/2015,31,5.4
250,9/8/2015,32,1.7
251,9/9/2015,32,1.3
252,9/10/2015,31,10.5
253,9/11/2015,32,0.5
254,9/12/2015,30,0.3
255,9/13/2015,28,0
256,9/14/2015,29,2.9
257,9/15/2015,28,2.4
258,9/16/2015,31,0.2
259,9/17/2015,30,1.8
260,9/18/2015,31,1.5
261,9/19/2015,31,1.9
262,9/20/2015,30,2.4
263,9/21/2015,32,0
264,9/22/2015,32,0
265,9/23/2015,33,0
266,9/24/2015,33,0.1
267,9/25/2015,33,1.5
268,9/26/2015,33,2.5
269,9/27/2015,32,0
270,9/28/2015,31,0.1
271,9/29/2015,31,1
272,9/30/2015,30,0.7
273,10/1/2015,30,0.1
274,10/2/2015,30,2.5
275,10/3/2015,32,3.7
276,10/4/2015,32,3.6
