district_id,baseline_person_hours_total,optimized_person_hours_daily,scheduled_hours,population,crit_weight
AP-01,0.0,9000000.0,2.0,4500000.0,1.0
AP-02,0.0,9140000.0,2.0,4570000.0,1.0
AP-03,0.0,10760000.0,2.0,5380000.0,1.0
AP-04,0.0,10560000.0,2.0,5280000.0,1.0
AP-05,0.0,6280000.0,2.0,3140000.0,1.0
AP-06,0.0,9620000.0,2.0,4810000.0,1.0
AP-07,0.0,9120000.0,2.0,4560000.0,1.0
AP-08,0.0,7420000.0,2.0,3710000.0,1.0
AP-09,0.0,6480000.0,2.0,3240000.0,1.0
AP-10,0.0,5700000.0,2.0,2850000.0,1.0
AP-11,0.0,9440000.0,2.0,4720000.0,1.0
AP-12,0.0,4840000.0,2.0,2420000.0,1.0
AP-13,0.0,8100000.0,2.0,4050000.0,1.0
Anantapur,316.0,0.0,0.0,,4.0
Chittoor,807.5,0.0,0.0,,15.0
East Godavari,2607.0,0.0,0.0,,11.0
Guntur,2625.0,0.0,0.0,,15.0
Kadapa,568.6666666666666,0.0,0.0,,8.0
Krishna,9781.333333333334,0.0,0.0,,32.0
Kurnool,503.5,0.0,0.0,,6.0
Nellore,883.75,0.0,0.0,,7.0
Prakasam,23.916666666666668,0.0,0.0,,1.0
Srikakulam,83.83333333333334,0.0,0.0,,2.0
Visakhapatnam,16085.416666666666,0.0,0.0,,35.0
Vizianagaram,18.916666666666668,0.0,0.0,,1.0
West Godavari,398.3333333333333,0.0,0.0,,4.0
